Index,Name,Address,latitude,longtitude,Phone,Website,Ranking,Open Hours,Images
11,Robert Chambers Hair Salon,"69 Grafton Street, Dublin 2, D02 HC04",53.34107179999999,-6.2607051,,,4.9,"['9:15a.m.–5:30p.m.', 'Closed', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–8:30p.m.', '9:30a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipMY6rwY1gHaEQjuhXVafrwS6flSX8YS2gJJveTl=w539-h240-k-no
12,Pelo Hairdressing,"Newbridge Retail Park, Unit 11 Athgarvan Rd., Kilbelin, Newbridge, Co. Kildare",53.1757244,-6.8015311,,,4.8,"['8a.m.–5:30p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–9p.m.']",https://lh5.googleusercontent.com/p/AF1QipOkREb1I9rj_ufaRy7Gxqf-SfS-1BCUfcS0Lp92=w408-h382-k-no
13,Rachyl's Hairstudio,"28 Pearse St, Athlone, Co. Westmeath, N37 P523",53.4219813,-7.9455939,085 810 0950,None,None,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M6GnDRYVTrPDuQ1hUtKQ_g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.93345&pitch=0&thumbfov=100
14,Great Lengths Ireland,"1 Knapton Ct, York Rd, Dún Laoghaire, Dublin",53.2913532,-6.144366499999999,(01) 284 4982,None,None,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DfUK_g10DzwmgZwCBlUxrg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=309.253&pitch=0&thumbfov=100
15,Irish Hairdressers Federation,"Suite 1 4th Floor Marine Point, Belview Port, Co. Waterford, X91 W0XW",52.2666625,-7.037745200000001,,,4.8,"['Closed', 'Closed', '9a.m.–1p.m.', '9a.m.–1p.m.', '9a.m.–1p.m.', '9a.m.–1p.m.', '9a.m.–1p.m.']",https://lh5.googleusercontent.com/p/AF1QipOBP2fnS2sYXcUfgCmtUYIRvH4IP0GsyTosMjrG=w408-h271-k-no
16,Irish College of Hairdressing,"Unit 14J Liosban, Tuam Road, Galway, H91 P236",53.28633900000001,-9.034415000000001,,,4.0,"['Closed', 'Closed', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.']",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=okwwWUGff75SPnhtXGJtpA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.984134&pitch=0&thumbfov=100
17,Natural Cut,"34 Wicklow St, Dublin 2, D02 F431",53.3428688,-6.2609892,,,4.7,"['10a.m.–6:30p.m.', 'Closed', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipPS6VzokRVCmERQlZwxPcAIfkHGrEiK1VWxfGE_=w408-h544-k-no
18,Mobile Hairdresser Ashbourne - Ireland,"Killegland, Ashbourne, Co. Meath",53.5112676,-6.4003688,,,None,"['Open 24 hours', 'Open 24 hours', 'Open 24 hours', 'Open 24 hours', 'Open 24 hours', 'Open 24 hours', 'Open 24 hours']",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D_R7uowzTVKgFajrlU8gmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=52.90132&pitch=0&thumbfov=100
19,Brown Sugar,"50 William St S, Dublin 2, D02 DE93",53.3415338,-6.2627596,,,4.7,"['9a.m.–5p.m.', 'Closed', '9a.m.–5:30p.m.', '9a.m.–5:30p.m.', '9a.m.–7:30p.m.', '9a.m.–8p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipPP01bh6iugokEOIyOZ1_La6SQokxa2IWXUMrFw=w543-h240-k-no
20,Charming Hair and Beauty Salon,"D02 ED72, County Dublin, Dublin, IE Ground floor and basement 3 Burgh Quay",53.3469979,-6.257962999999999,,,4.2,[],https://lh5.googleusercontent.com/p/AF1QipN3tsLKN-FlF7Nx2_HB81Pzi7CoXtwS9IbUVDiP=w408-h306-k-no
21,Individual Hair Salon,"Apartment 2, Dalgan House, Sráid Chiaráin, Gairdíní San Eoin, Kilkenny",52.65194140000001,-7.251851899999999,(056) 778 9856,None,None,[],https://maps.gstatic.com/tactile/pane/default_geocode-2x.png
22,Brown Sugar,"50 William St S, Dublin 2, D02 DE93",53.3415338,-6.2627596,(01) 616 9967,brownsugar.ie,4.7,"['9a.m.–5p.m.', 'Closed', '9a.m.–5:30p.m.', '9a.m.–5:30p.m.', '9a.m.–7:30p.m.', '9a.m.–8p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipPP01bh6iugokEOIyOZ1_La6SQokxa2IWXUMrFw=w543-h240-k-no
23,Blow Salons,None,None,None,(01) 607 0222,blow.ie,4.1,"['8:30a.m.–6p.m.', '9:30a.m.–4p.m.', '6:30a.m.–7:30p.m.', '6:30a.m.–7:30p.m.', '6:30a.m.–7:30p.m.', '6:30a.m.–7:30p.m.', '6:30a.m.–7:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipPnzXqlNi0pZrwJ14IBVKzcOLgj4BPkcwq1H48t=w567-h240-k-no
24,David Marshall Salon & School of Hairdressing,"27 S Great, George's Street Arcade, Dublin",53.34217109999999,-6.26448,(01) 677 0598,None,4.2,"['9a.m.–6p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–7p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipPX4QWO9Y4vsso9Fxdl82oFZfl5eFbXhF4D0vhW=w426-h240-k-no
25,Barry's Hair & Beauty Studio,"34 Shop St, Galway, H91 WY2H",53.2728877,-9.0528667,(091) 561 392,barryshairstudio.ie,4.6,"['9a.m.–5p.m.', 'Closed', '9a.m.–5:30p.m.', '9a.m.–5:30p.m.', '9a.m.–5:30p.m.', '9a.m.–7p.m.', '9a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipPj_EGRFob92IbpJ8wyIH2A20CJ8iU5LUwYR1NH=w408-h272-k-no
26,DaveyDavey Hair Salon,"24 Stephen Street Lower, Dublin 2",53.3412461,-6.2647717,(01) 607 8999,daveydavey.com,4.9,"['9a.m.–6p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–8p.m.', '9a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipOqpb_Jz8bzjmNLyVQG1e57Kq-NF7r_Uj2zv0AU=w426-h240-k-no
27,Pure Aveda Salon,None,None,None,(01) 678 9864,pureavedasalon.ie,4.3,"['9a.m.–7p.m.', 'Closed', 'Closed', '9a.m.–7p.m.', '9a.m.–7p.m.', '9a.m.–7p.m.', '9a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipPRewewO-Wx_NMxKVWSlkaDhYHOESU7QLLuOcbe=w408-h271-k-no
28,Blow Salons,None,None,None,(01) 611 2664,blow.ie,4.3,"['8:30a.m.–7p.m.', '10a.m.–6p.m.', '8:30a.m.–7p.m.', '8:30a.m.–7p.m.', '8:30a.m.–7p.m.', '8:30a.m.–8p.m.', '8:30a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipPn-O4tzsOb543Z0a9t3sM1LXx6vg_6myJx3T8Y=w567-h240-k-no
29,La Vita Hair & Beauty Salon | Bridal Services | Ennis | Ireland,"75 O'Connell Street, Clonroad Beg, Ennis, Co. Clare, V95 KD83",52.8417695,-8.9839442,(065) 684 8515,lavitasalons.ie,4.7,"['9a.m.–6p.m.', 'Closed', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–8p.m.', '9:30a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipP-3ooBvGw__uWf503zY7yYpxHkMPOJu_HobqMC=w506-h240-k-no
30,The Hair Lounge,"84 Glaslough St, Roosky, Monaghan, H18 KR83",54.24953379999999,-6.9683952,(047) 75289,thehairloungemonaghan.com,4.8,"['8a.m.–5p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–8p.m.', '9a.m.–8p.m.', '9a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipMniWjSAq2VYZrUSBk1aJ-ViqrlylTPeqEW2T3V=w408-h415-k-no
31,Natural Cut,"34 Wicklow St, Dublin 2, D02 F431",53.3428688,-6.2609892,(01) 679 7130,thenaturalcut.ie,4.7,"['10a.m.–6:30p.m.', 'Closed', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.', '10a.m.–6:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipPS6VzokRVCmERQlZwxPcAIfkHGrEiK1VWxfGE_=w408-h544-k-no
32,The hair lounge,"Unit 9 The Plaza Village, Forster Way, Swords, Co. Dublin",53.45660040000001,-6.2200175,(01) 694 7000,thehairloungeswords.ie,4.9,"['9a.m.–5:30p.m.', 'Closed', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–8p.m.', '9:30a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipO8pBBcGoZ48DEPJDE7tlWuTfdjbTFNFd9kFuaT=w426-h240-k-no
33,LE viva hair salon,"21 Bridge St, Castlelands, Mallow, Co. Cork, P51 NH70",52.1346974,-8.6409512,087 452 9666,facebook.com,5.0,"['10a.m.–5p.m.', 'Closed', 'Closed', 'Closed', '10a.m.–6p.m.', '10a.m.–6p.m.', '10a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipMymzJF1TTeSuL32tCqKaJbFm5ZvAbgUSwZJxb5=w408-h244-k-no
34,Powder Room Hair & Makeup Salon,"1 Brownsbarn Ct, Kingswood Cross, Dublin, D22 K237",53.2980168,-6.4197517,(01) 403 3030,business.site,4.7,"['8a.m.–6p.m.', '9a.m.–1p.m.', 'Closed', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipMZRNlOinHu9hbSst3_bst4h6Ws0t7r65nMc-G2=w408-h314-k-no
35,Style Club Hairdressing,"12 William St S, Dublin",53.3424902,-6.262440799999999,(01) 472 2444,styleclub.ie,4.4,"['9a.m.–6p.m.', 'Closed', '10a.m.–6p.m.', '10a.m.–9p.m.', '10a.m.–9p.m.', '10a.m.–9p.m.', '9a.m.–9p.m.']",https://lh5.googleusercontent.com/p/AF1QipPDjuaogQYFuUCyYa-IKsk9v2PD8xNTWyg88Fqm=w408-h271-k-no
36,Peter Mark Hairdressers Letterkenny,"Unit B, Fort Lynne House, Letterkenny, Co. Donegal",54.94789429999999,-7.7313006,(074) 912 8657,petermark.ie,4.7,"['9a.m.–5:30p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–8:30p.m.', '9a.m.–8:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipMLeQf9V_RHQs8Ed_q_Z6_D6Ea2v9a9i0S58cPT=w408-h272-k-no
37,Vanilla Browns Hair Salon at The Absolute Hotel,"Sir Harry's Mall, Limerick",52.6677118,-8.619161199999999,(061) 463 608,vanillabrowns.com,3.8,"['10a.m.–8p.m.', 'Closed', '10a.m.–8p.m.', '10a.m.–6p.m.', 'Closed', '10a.m.–8p.m.', '10a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipN6KMVfCi7HrahLEVsOR_5gKwzdcj-pCGW8ROfD=w426-h240-k-no
38,Aura Hair Specialists Ireland,"The Square, Townparks, Castlepollard, Co. Westmeath, N91 X625",53.6799203,-7.2986064,(044) 966 1234,aurahairdesign.ie,4.9,"['9a.m.–5p.m.', 'Closed', 'Closed', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.']",https://lh5.googleusercontent.com/p/AF1QipMST5KiFCJMAEHdCObiLs8KF0bdX0SdWtz6HdKU=w426-h240-k-no
39,Shear Perfection Hair Salon,"Sineile House, Main Street Virginia, Virginia, Ireland, Co. Cavan",53.8345035,-7.0823538,083 866 1471,facebook.com,4.3,[],https://lh5.googleusercontent.com/p/AF1QipNl7cOKVENBPpU9mk47zlAi0SXcu3Uux0ta1uSL=w408-h725-k-no
40,Reds Hair Salon,"1st Floor, 21 Dawson St, Dublin, D02 TK33",53.33965749999999,-6.2585532,(01) 678 8211,reds.ie,4.4,"['9:30a.m.–4:30p.m.', 'Closed', 'Closed', '9:30a.m.–5:30p.m.', '9:30a.m.–5:30p.m.', '9:30a.m.–6:30p.m.', '9:30a.m.–6:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipO-jndXTjXFa9aFOXWEt5mcL_nblW7lf8JyCpjo=w408-h306-k-no
41,The Company Hair Salon,"Old Mill, 5 Church St, Moneyballytyrrell, Portlaoise, Co. Laois",53.03598650000001,-7.296929,,,4.9,"['9a.m.–5p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–9p.m.']",https://lh5.googleusercontent.com/p/AF1QipMJGUSGYbdDzaDRxweSFXsvVuTlsknRwBBR5ZPd=w408-h408-k-no
42,CHAIR Hair Salon,None,None,None,(021) 424 8710,chair.ie,4.9,"['9:30a.m.–8:30p.m.', 'Closed', '9:30a.m.–5:30p.m.', '9:30a.m.–5:30p.m.', '9:30a.m.–5:30p.m.', '9:30a.m.–6:30p.m.', '9:30a.m.–7:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipNDMX8-RBlYnCakka4a6JvYxHdrMXqYGT-WfAyo=w408-h408-k-no
43,Ceira Lambert Hair Consultancy,"Violet House, Main St, Shankill, Dublin",53.2310506,-6.1241749,(01) 442 0560,ceiralambert.com,5.0,"['9a.m.–6p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–9p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipMzDYQAMdDNPNJ3cHwYY_jFWViDt_6rbD7Q97sL=w408-h510-k-no
44,Platinum Hair Extensions,"Sackville House, The Times Building, D'Olier Street, Dublin",53.3462488,-6.258429,(01) 670 8639,platinumluxuryhairextensions.com,4.9,"['9a.m.–5p.m.', 'Closed', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–8p.m.', '9a.m.–8p.m.', '9a.m.–5p.m.']",https://lh5.googleusercontent.com/p/AF1QipMrrBk1vbTG20zNRjQznOSzwiy3Aq8dEf2Pltz-=w408-h271-k-no
45,Niall Colgan Hairdressing,"O'Callaghan Strand, Limerick, V94 WK27",52.6647439,-8.6325862,(061) 582 240,niallcolganhairdressing.ie,4.8,"['8:30a.m.–5:30p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–8p.m.', '9a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipPwBeMAYHH0O-sgclG2WFbUamkb2-0RumSeEJ3m=w426-h240-k-no
46,The Hair Salon,"Riverside Wharf, West Beach, Kilgarvan, Cobh, Co. Cork",51.8500289,-8.2922618,(021) 485 5866,thehairsalon.ie,5.0,"['8a.m.–4p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipPDZWgS4RoFTCK3ZH49OoMhIdimKvnD6v6j08r9=w408-h271-k-no
47,Blow Salons,None,None,None,(01) 614 4526,blow.ie,4.3,"['9a.m.–6p.m.', '10a.m.–4p.m.', '6:30a.m.–7p.m.', '6:30a.m.–7p.m.', '6:30a.m.–7p.m.', '6:30a.m.–7p.m.', '6:30a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipPlbuCu_BK8wzFqhbZ3TiGrAfdQTbLWv-Sz-25j=w567-h240-k-no
48,Aviary Lane,"24 Anne St S, Dublin 2",53.34097939999999,-6.2591131,(01) 611 1101,aviarylane.com,4.8,"['9a.m.–6p.m.', 'Closed', 'Closed', '10a.m.–6p.m.', '10a.m.–6p.m.', '10a.m.–8p.m.', '10a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipMe42Js8Pv_-eqxirDgRzXkyMbd3qqWliuS5P1-=w426-h240-k-no
49,Alan Keville For Hair,"2 Anne St S, Dublin, D02 KR65",53.34127909999999,-6.2600554,None,None,None,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IRtTO1O_TRQseKzcKJ0cEQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.339397&pitch=0&thumbfov=100
50,bozena sarek hairdressing,"58 Academy St, Dillonsland, Navan, Co. Meath",53.6502522,-6.6812402,(046) 907 2517,bozenasarekhairdressing.ie,4.7,"['8a.m.–4p.m.', 'Closed', 'Closed', '9:30a.m.–5p.m.', '11a.m.–8p.m.', '11a.m.–8p.m.', '9a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipPt9tVrJsnmMKaBTs0SKJ2vkK0GOC19GY_o1iof=w408-h411-k-no
51,Peter Mark Hairdressers Grafton St.,"74 Grafton Street, Dublin 2, D02 PD81",53.3414571,-6.2604505,(01) 671 4136,petermark.ie,4.3,"['9a.m.–6p.m.', '11a.m.–5:30p.m.', '9a.m.–6p.m.', '9a.m.–8p.m.', '8a.m.–8p.m.', '8a.m.–8p.m.', '8a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipNdaAFGPfXDZuQc_40FMMPZmP5GAuCXE3tqGDhP=w408-h272-k-no
52,Gorgeous Hair Salon,"5 Maryfield Ave, Beaumont, Artane, Co. Dublin, D05 V2R2",53.3864736,-6.2117097,(01) 867 4643,None,4.5,"['8a.m.–3p.m.', 'Closed', 'Closed', '9a.m.–5:30p.m.', '9a.m.–5:30p.m.', '8a.m.–8p.m.', '8a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipPgdlQGewsYdJNXsXWfPRuem-JRwGlysf7UbS8=w408-h408-k-no
53,Cabello Hair Design,"20 Sandycove Road, Sandycove, Dublin, A96 WY23",53.2859574,-6.117262600000001,(01) 230 1160,cabellohairdesign.ie,4.6,"['9a.m.–6p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.']",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tAsnkJFVJHAUdau43tR0sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=194.0775&pitch=0&thumbfov=100
54,Locks Of Hair Salon,"36 Barrack St, Loughrea, Co. Galway, H62 CX31",53.1975328,-8.569016,(091) 880 915,business.site,5.0,"['9a.m.–5p.m.', 'Closed', 'Closed', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipMB3j46OYdC1LBIa8y-K9tLm_2tLWB319CP7y0o=w408-h544-k-no
55,Black Amber - Templeogue,"10 Cypress Park, Templeogue Village, Dublin",53.2995749,-6.3083775,(01) 499 1910,blackamber.ie,4.9,"['9a.m.–6p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipO1VJEXByKydW1s-gluiDLPq2GJyyse3Jxu8sze=w408-h240-k-no-pi0-ya180.71716-ro-0-fo100
56,Peter Mark Hairdressers Rathfarnham,"Rathfarnham Shopping Centre Level 2 Rathfarnham, Butterfield Ave, Co. Dublin",53.2967555,-6.297553,(01) 493 3653,petermark.ie,4.6,"['9a.m.–5:30p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–9p.m.']",https://lh5.googleusercontent.com/p/AF1QipNM0supKxO-hm7E925vQrL4hFR8ms9C6fNCPQbl=w408-h272-k-no
57,Hair Cafe Salon,"8a Thundercut Alley, Smithfield, Dublin 7",53.34926549999999,-6.2795195,(01) 878 8198,haircafesalon.ie,4.8,"['9a.m.–5p.m.', 'Closed', 'Closed', '10a.m.–6p.m.', '10a.m.–7p.m.', '9a.m.–8p.m.', '9a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipMldtIdL2mfVDssmciHsKOEiKz2A6UAv9ZKP0k=w408-h272-k-no
58,Hairorganic.ie,"16 Woodlands Rd, Glenageary, Dublin, A96 H5X8",53.2666419,-6.1418328,087 276 2248,hairorganic.ie,5.0,"['9a.m.–1p.m.', 'Closed', 'Closed', '10a.m.–5:30a.m.', '10a.m.–6a.m.', '10a.m.–6a.m.', '10a.m.–5p.m.']",https://lh5.googleusercontent.com/p/AF1QipPCW9XHGzdIfPQb7nV4RdzxJFn4NEDxOI3JFDPf=w408-h274-k-no
59,The Hair Boutique,"5 Elmwood, Meelick, Co. Clare, V94 D5K8",52.7039386,-8.649293499999999,None,None,5.0,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gFCOlKimzx1szoZLbuEr_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.08972&pitch=0&thumbfov=100
60,Peter Mark Hairdressers Blanchardstown Village,"SuperValu Shopping Centre Main Street Blanchardstown, D15 TYF3",53.38617559999999,-6.378282,(01) 821 0903,petermark.ie,4.6,"['9a.m.–6p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–8:30p.m.', '9a.m.–8:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipNAcGWMoE8DW8FIk4zpaB5RLf9Z6TqiLSH48VsX=w408-h272-k-no
61,Salon 2 Hairdressing,"5 Adelaide St, Abbeyquarter North, Sligo",54.2710399,-8.4795389,,,5.0,"['9a.m.–5:30p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–8p.m.', '9a.m.–8p.m.', '9a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipMPDHgC16BBROxIDNQYCP7fStvUKyUqfntWZ9Km=w408-h620-k-no
62,Cathriona's Hairsalon,"Mary Street, Tralee, Co. Kerry",52.26802929999999,-9.7080333,(066) 714 4626,cathrionashairsalon.com,4.5,"['8a.m.–8p.m.', 'Closed', '8a.m.–8p.m.', '8a.m.–8p.m.', '8a.m.–8p.m.', '8a.m.–8p.m.', '8a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipOJBHmAvDL-QH2fQ9h4kwl7LYQKAHbIB2ylJL7W=w408-h515-k-no
63,Cats Hair Salon,"1 Clarendon St, Dublin, D02 TA43",53.3420584,-6.2613078,(01) 679 9417,catshairsalon.ie,4.9,"['9a.m.–6p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–8p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipPxW6ZDSiUCMlT-CD3grLtMtm5OooDU1hY6MXdk=w408-h520-k-no
